date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:55	31017/31017	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Apr%202021%2011:52:16%20GMT	https://preview.colorlib.com/theme/congoro/elements.html	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/elements.html	(from https://preview.colorlib.com/theme/congoro/)
20:17:56	710/710	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222c6-5c03eb3de3564%22	https://preview.colorlib.com/theme/congoro/assets/img/icon/call.svg	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/img/icon/call.svg	(from https://preview.colorlib.com/theme/congoro/)
20:17:56	552/552	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22228-5c03eb3c6c574%22	https://preview.colorlib.com/theme/congoro/assets/img/icon/air.svg	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/img/icon/air.svg	(from https://preview.colorlib.com/theme/congoro/)
20:17:57	662/662	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22296-5c03eb3c6d514%22	https://preview.colorlib.com/theme/congoro/assets/img/icon/time.svg	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/img/icon/time.svg	(from https://preview.colorlib.com/theme/congoro/)
20:17:59	31445/31445	---M--	200	added ('OK')	image/jpeg	etag:%227ad5-5c03eb0f80759%22	https://preview.colorlib.com/theme/congoro/assets/img/gallery/blog3.jpg	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/img/gallery/blog3.jpg	(from https://preview.colorlib.com/theme/congoro/)
20:17:59	68671/68671	---M--	200	added ('OK')	image/jpeg	etag:%2210c3f-5c03eb0bea800%22	https://preview.colorlib.com/theme/congoro/assets/img/gallery/blog1.jpg	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/img/gallery/blog1.jpg	(from https://preview.colorlib.com/theme/congoro/)
20:17:59	37356/37356	---M--	200	added ('OK')	image/jpeg	etag:%2291ec-5c03eb0d3b691%22	https://preview.colorlib.com/theme/congoro/assets/img/gallery/blog2.jpg	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/img/gallery/blog2.jpg	(from https://preview.colorlib.com/theme/congoro/)
20:18:00	86392/86392	---M--	200	added ('OK')	image/jpeg	etag:%2215178-5c03eb06dd8b6%22	https://preview.colorlib.com/theme/congoro/assets/img/gallery/gallery1.jpg	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/img/gallery/gallery1.jpg	(from https://preview.colorlib.com/theme/congoro/)
20:18:00	66074/66074	---M--	200	added ('OK')	image/jpeg	etag:%221021a-5c03eb068a89a%22	https://preview.colorlib.com/theme/congoro/assets/img/gallery/gallery2.jpg	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/img/gallery/gallery2.jpg	(from https://preview.colorlib.com/theme/congoro/)
20:18:02	51984/51984	---M--	200	added ('OK')	image/jpeg	etag:%22cb10-5c03eb056d626%22	https://preview.colorlib.com/theme/congoro/assets/img/gallery/gallery3.jpg	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/img/gallery/gallery3.jpg	(from https://preview.colorlib.com/theme/congoro/)
20:18:02	89247/89247	---M--	200	added ('OK')	image/jpeg	etag:%2215c9f-5c03eb08690c5%22	https://preview.colorlib.com/theme/congoro/assets/img/gallery/about1.jpg	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/img/gallery/about1.jpg	(from https://preview.colorlib.com/theme/congoro/)
